,JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
219,0,2003-01-28,5,94,0,1,0,1,2,2,3,2,0
220,0,2002-06-19,31,95,4,1,2,3,2,2,3,2,0
221,1,2001-10-14,14,96,2,1,1,3,3,1,0,2,1
222,1,2003-07-14,0,97,2,1,0,1,2,1,0,3,0
223,1,2014-12-31,2,8,2,1,2,3,2,2,2,3,0
224,0,1998-05-01,0,1,0,3,1,0,2,1,1,2,0
225,0,1998-12-15,2,8,2,1,2,3,2,2,3,2,0
226,1,1999-07-26,2,8,2,1,2,3,1,2,1,2,0
227,0,2005-06-17,2,98,4,1,0,2,3,1,6,4,0
228,0,2004-02-05,0,99,0,3,1,1,3,4,0,2,0
229,1,2004-07-28,0,2,0,1,2,1,2,3,6,3,0
230,0,2005-04-16,32,100,2,1,1,3,2,10,0,0,1
231,0,2005-07-22,0,101,2,1,1,1,3,2,3,3,1
232,0,2004-10-10,1,102,0,0,2,0,2,4,4,2,0
233,0,1998-10-19,2,7,0,1,8,6,2,0,8,2,0
234,0,1996-04-24,2,5,0,3,2,0,2,2,1,2,1
235,0,1997-08-08,2,7,0,3,2,2,2,2,3,2,0
236,0,2007-04-02,0,103,0,1,1,1,2,1,0,3,1
237,0,2004-02-28,0,104,2,1,2,1,3,2,0,0,0
238,0,2004-04-03,2,8,0,1,2,3,4,2,3,4,0
239,1,2005-03-12,0,10,2,1,1,1,2,4,0,3,0
240,1,2004-12-05,0,35,0,4,2,2,3,1,3,0,0
241,0,2005-01-03,0,105,0,6,1,1,2,4,0,2,1
242,0,1998-12-19,2,7,2,1,0,1,2,1,0,2,0
243,1,2004-06-26,33,106,0,1,0,15,2,1,6,2,0
244,0,1999-07-24,0,10,2,1,1,1,2,1,0,2,0
245,1,2001-10-25,0,6,4,1,2,1,2,2,0,2,0
246,1,2003-12-28,0,10,2,1,2,1,1,1,0,2,0
247,0,2005-07-15,0,2,2,1,0,1,2,4,1,1,0
248,1,1999-06-16,0,28,2,1,4,0,2,5,1,2,1
249,1,2000-08-02,2,8,2,1,2,3,1,2,3,3,0
250,1,2002-05-30,2,34,4,1,2,3,2,2,3,2,0
251,1,2000-07-28,2,7,2,1,2,3,2,2,3,2,0
252,1,1997-12-16,2,8,2,1,2,3,2,2,3,2,0
253,0,2004-06-01,0,30,0,3,1,0,3,4,5,4,1
254,0,2003-12-17,0,41,2,1,6,1,3,8,0,0,0
255,1,2008-03-12,0,16,3,1,2,5,2,2,1,2,2
256,1,2000-06-12,2,26,2,1,1,0,2,5,1,2,0
257,1,1999-11-02,2,8,2,1,2,0,2,2,1,2,0
258,0,2003-12-23,0,1,2,1,2,0,2,2,4,2,0
259,1,2005-07-28,0,2,2,1,2,3,2,2,3,2,0
260,0,1999-11-04,0,16,2,1,1,0,2,4,1,2,0
261,0,1996-06-22,0,1,0,3,2,0,2,2,3,2,0
262,0,2002-11-15,31,95,2,1,0,3,3,1,3,2,0
263,1,2004-06-01,2,61,0,1,0,3,2,1,2,3,0
264,1,2003-12-04,0,33,0,1,0,1,2,1,3,2,0
265,1,2003-07-01,2,55,2,1,1,1,3,1,0,0,0
266,0,2002-04-29,0,14,2,1,0,0,2,3,2,3,0
267,0,2003-09-11,0,10,2,1,0,0,2,1,2,3,0
268,0,2000-09-02,2,107,2,1,2,0,2,2,1,2,0
269,0,2005-02-22,0,72,0,1,1,0,3,4,4,0,0
270,0,2001-02-11,2,34,2,1,2,3,2,2,1,1,0
271,0,1999-05-26,14,107,3,1,4,1,3,5,1,1,0
272,0,2003-09-24,28,108,4,1,1,2,2,4,1,1,0
273,0,2003-09-14,0,59,2,1,6,0,3,8,1,1,0
274,1,1997-12-14,0,1,2,1,1,12,2,1,1,2,0
275,1,2001-05-25,19,109,2,1,2,13,3,2,1,3,0
276,1,2002-10-04,16,82,4,1,1,1,2,1,1,1,1
277,0,1998-03-06,2,7,2,1,0,1,2,2,6,2,0
278,1,2004-07-02,34,110,0,4,1,1,3,4,1,1,0
279,1,2005-02-22,0,111,0,3,1,1,3,4,0,2,1
280,1,2005-12-28,0,112,2,1,1,3,2,4,3,2,0
281,1,2002-12-14,0,28,2,1,1,1,3,4,5,2,0
282,1,2004-11-10,2,34,0,4,2,3,1,2,6,4,0
283,1,2004-02-25,2,113,0,4,2,10,5,2,1,1,1
284,1,2002-06-21,2,7,2,1,2,0,2,2,4,3,0
285,1,2005-06-14,14,114,0,1,2,0,3,2,0,2,0
286,1,1998-12-08,2,7,2,1,2,6,2,2,5,0,0
