JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
P,2001-02-11,Brebes,Boja,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Tidak bekerja,"Kurang dari Rp. 500,000",Lulus
L,2006-06-28,SEMARANG,Banguntapan,Bersama orang tua,Jalan kaki,S1,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",S1,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2001-10-20,MAKKAH,Lebaksiu,Pesantren,Jalan kaki,D3,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Tidak bekerja,Tidak Berpenghasilan,Lulus
P,2003-06-26,KENDAL,Kaliwungu Selatan,Asrama,Jalan kaki,S1,Lainnya,"Rp. 2,000,000 - Rp. 4,999,999",S1,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-02-04,Semarang,Ngaliyan,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1997-08-27,SEMARANG,Mijen,Bersama orang tua,Sepeda motor,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-04-25,KENDAL,Singorojo,Bersama orang tua,Jalan kaki,SD / sederajat,Petani,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-03-16,LUBUK MAKMUR,Lempuing,Asrama,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-07-11,SEMARANG,Gunung Pati,Pesantren,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2005-01-13,Semarang,Ngempon,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
P,2004-02-07,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
L,1997-11-22,SEMARANG,Ungaran Barat,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-11-10,SEMARANG,Tugu,Pesantren,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2003-05-16,KENDAL,Kota Kendal,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2000-07-15,Bangkalan,Semarang Barat,Rumah Tinggal,Jalan kaki,Tidak sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,"Rp. 500,000 - Rp. 999,999",Lulus
L,2000-09-18,(Tidak Diisi),Mijen,Asrama,Jalan kaki,SD / sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2003-10-07,Bangkalan,Semarang Utara,Bersama orang tua,Jalan kaki,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-05-01,SEMARANG,Gunung Pati,Pesantren,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
